,Brand,pickup,Model,Price,Range,Battery,Weight
0,BMW,4.9,iX3 50 xDrive (MY26),58755.0,610.0,108.7,2360 kg
1,BMW,4.9,iX xDrive40,69905.0,360.0,71.0,2440 kg
2,BMW,4.9,iX3 (MY22-24),64165.0,385.0,74.0,2255 kg
3,BMW,4.9,iX1 xDrive30,47465.0,380.0,64.7,2085 kg
4,BMW,4.9,i4 eDrive40,57890.0,515.0,80.7,2125 kg
5,BMW,4.9,iX1 eDrive20,45465.0,390.0,64.7,1940 kg
6,BMW,4.9,i4 eDrive40,59465.0,525.0,81.3,2120 kg
7,BMW,4.9,i4 eDrive35,51270.0,430.0,67.1,2075 kg
8,BMW,4.9,i3 120 Ah,33805.0,235.0,37.9,1345 kg
9,BMW,4.9,iX xDrive50,102755.0,505.0,105.2,2585 kg
10,BMW,4.9,i4 M50,71085.0,450.0,80.7,2290 kg
11,BMW,4.9,i7 xDrive60,113970.0,510.0,101.7,2715 kg
12,BMW,4.9,iX xDrive60,93105.0,525.0,109.1,2580 kg
13,BMW,4.9,i5 eDrive40 Sedan (MY23-24),74105.0,470.0,81.2,2205 kg
14,BMW,4.9,i4 eDrive40,59365.0,515.0,81.3,2125 kg
15,BMW,4.9,iX2 eDrive20,51615.0,395.0,64.7,1960 kg
16,BMW,4.9,iX xDrive45,75305.0,470.0,94.8,2525 kg
17,BMW,4.9,i4 M60 xDrive,71000.0,465.0,81.3,2285 kg
18,BMW,4.9,i4 eDrive35,51730.0,435.0,67.1,2070 kg
19,BMW,4.9,i4 eDrive35,49995.0,430.0,67.0,2065 kg
20,BMW,4.9,iX2 xDrive30,57445.0,385.0,64.7,2095 kg
21,BMW,4.9,i5 eDrive40 Sedan (MY25),67705.0,480.0,81.2,2195 kg
22,BMW,4.9,i3s 120 Ah,34805.0,230.0,37.9,1365 kg
23,BMW,4.9,i3 94 Ah,28570.0,165.0,27.2,1320 kg
24,BMW,4.9,i3 60 Ah,27850.0,115.0,18.8,1270 kg
25,BMW,4.9,i7 M70 xDrive,163315.0,490.0,101.7,2770 kg
26,BMW,4.9,iX M60,122775.0,485.0,105.2,2659 kg
27,BMW,4.9,i7 eDrive50,100205.0,520.0,101.7,2595 kg
28,BMW,4.9,i4 M50,72375.0,450.0,81.3,2290 kg
29,BMW,4.9,i5 eDrive40 Touring (MY25),69955.0,465.0,81.2,2255 kg
30,BMW,4.9,i3 94 Ah,29570.0,165.0,27.2,1320 kg
31,BMW,4.9,i5 M60 xDrive Sedan (MY23-24),97745.0,420.0,81.2,2380 kg
32,BMW,4.9,i5 eDrive40 Touring (MY24),69945.0,455.0,81.2,2255 kg
33,BMW,4.9,iX M70 xDrive,114205.0,500.0,108.9,2655 kg
34,BMW,4.9,i5 M60 xDrive Sedan (MY25),97755.0,430.0,81.2,2370 kg
35,BMW,4.9,i5 M60 xDrive Touring (MY25),100005.0,425.0,81.2,2425 kg
36,BMW,4.9,i3s 94 Ah,32475.0,160.0,27.2,1340 kg
37,BMW,4.9,i5 M60 xDrive Touring (MY24),99995.0,415.0,81.2,2425 kg
38,Volvo,5.9,EX60 P6 (MY27),56860.0,455.0,80.0,2190 kg
39,Volvo,5.9,EX60 P12 AWD (MY27),64860.0,610.0,112.0,2405 kg
40,Volvo,5.9,EX30 Single Motor ER (MY24),37260.0,365.0,65.0,1850 kg
41,Volvo,5.9,EX60 P10 AWD (MY27),59860.0,500.0,91.0,2350 kg
42,Volvo,5.9,EX60 Cross Country P10 AWD (MY28),62000.0,490.0,91.0,2370 kg
43,Volvo,5.9,EX40 Single Motor ER (MY26),48010.0,400.0,79.0,2075 kg
44,Volvo,5.9,EX30 Single Motor (MY24),33060.0,275.0,49.0,1840 kg
45,Volvo,5.9,EX30 Twin Motor Performance (MY24),42360.0,340.0,65.0,1960 kg
46,Volvo,5.9,ES90 Twin Motor (MY26),82750.0,535.0,102.0,2610 kg
47,Volvo,5.9,EX90 Twin Motor (MY26),89560.0,480.0,102.0,2725 kg
48,Volvo,5.9,EX40 Single Motor ER (MY25),47705.0,400.0,79.0,2075 kg
49,Volvo,5.9,EX90 Twin Motor (MY24-25),89560.0,505.0,107.0,2754 kg
50,Volvo,5.9,XC40 P8 AWD Recharge (MY21),49950.0,335.0,75.0,2188 kg
51,Volvo,5.9,ES90 Single Motor (MY26),69150.0,485.0,88.0,2410 kg
52,Volvo,5.9,C40 Recharge Twin Motor (MY24),53605.0,400.0,79.0,2185 kg
53,Volvo,5.9,EX30 Cross Country (MY26),46995.0,335.0,65.0,1960 kg
54,Volvo,5.9,XC40 Recharge Twin Motor (MY24),51755.0,385.0,79.0,2170 kg
55,Volvo,5.9,EX90 Twin Motor Performance (MY24-25),99960.0,485.0,107.0,2762 kg
56,Volvo,5.9,EX40 Single Motor (MY25),45955.0,345.0,67.0,2040 kg
57,Volvo,5.9,XC40 Recharge Single Motor (MY24),46505.0,340.0,66.0,2040 kg
58,Volvo,5.9,EC40 Single Motor ER (MY25),54305.0,420.0,79.0,2095 kg
59,Volvo,5.9,EC40 Single Motor ER (MY26),54160.0,420.0,79.0,2095 kg
60,Volvo,5.9,XC40 Recharge Pure Electric (MY23),45750.0,330.0,67.0,2023 kg
61,Volvo,5.9,XC40 Recharge Pure Electric (MY22),48300.0,305.0,67.0,2030 kg
62,Volvo,5.9,EX90 Twin Motor Performance (MY26),99960.0,465.0,102.0,2725 kg
63,Volvo,5.9,EX40 Single Motor (MY26),46260.0,345.0,67.0,2040 kg
64,Volvo,5.9,EX90 Single Motor (MY26),82660.0,425.0,88.0,2556 kg
65,Volvo,5.9,EX40 Twin Motor (MY26),57660.0,385.0,79.0,2170 kg
66,Volvo,5.9,ES90 Twin Motor Performance (MY26),87350.0,535.0,102.0,2610 kg
67,Volvo,5.9,C40 Recharge Single Motor (MY24),48355.0,355.0,66.0,2065 kg
68,Volvo,5.9,EX40 Twin Motor (MY25),57805.0,385.0,79.0,2170 kg
69,Volvo,5.9,EX40 Twin Motor Performance (MY26),59610.0,385.0,79.0,2170 kg
70,Volvo,5.9,C40 Recharge Twin Pure Electric (MY22),58350.0,360.0,75.0,2185 kg
71,Volvo,5.9,XC40 Recharge Twin Pure Electric (MY22),49950.0,335.0,75.0,2188 kg
72,Volvo,5.9,EX90 Single Motor (MY24-25),82660.0,485.0,100.0,2582 kg
73,Volvo,5.9,EC40 Single Motor (MY25),52555.0,360.0,67.0,2057 kg
74,Volvo,5.9,C40 Recharge Pure Electric (MY23),47100.0,335.0,67.0,2045 kg
75,Volvo,5.9,XC40 Recharge Twin Pure Electric (MY23),57000.0,350.0,75.0,2188 kg
